"","year","Element","total","continent"
"410","Y2016","Export Value",1401522,"Americas"
"411","Y2016","Import Quantity",2707321.33,"Americas"
"412","Y2016","Import Value",1933982,"Americas"
"413","Y2017","Export Quantity",2458475.9,"Americas"
"414","Y2017","Export Value",1746760,"Americas"
"415","Y2017","Import Quantity",2697906.61,"Americas"
"416","Y2017","Import Value",2141692,"Americas"
"417","Y2018","Export Quantity",2654490.89,"Americas"
"418","Y2018","Export Value",1683763,"Americas"
"419","Y2018","Import Quantity",3034383.26,"Americas"
"420","Y2018","Import Value",2223222,"Americas"
"421","Y2019","Export Quantity",2324681.76,"Americas"
"422","Y2019","Export Value",1312271,"Americas"
"423","Y2019","Import Quantity",2985295.01,"Americas"
"424","Y2019","Import Value",1919938,"Americas"
"425","Y2020","Export Quantity",2562139.55,"Americas"
"426","Y2020","Export Value",1743851,"Americas"
"427","Y2020","Import Quantity",2770111.06,"Americas"
"428","Y2020","Import Value",2138955,"Americas"
"429","Y2021","Export Quantity",2095731.7,"Americas"
"430","Y2021","Export Value",2210425,"Americas"
"431","Y2021","Import Quantity",3146689.71,"Americas"
"432","Y2021","Import Value",3414651,"Americas"
"433","Y1986","Export Quantity",91533,"Europe"
"434","Y1986","Export Value",57602,"Europe"
"435","Y1986","Import Quantity",852287,"Europe"
"436","Y1986","Import Value",256636,"Europe"
"437","Y1987","Export Quantity",86192,"Europe"
"438","Y1987","Export Value",48486,"Europe"
"439","Y1987","Import Quantity",1122512,"Europe"
"440","Y1987","Import Value",379242,"Europe"
"441","Y1988","Export Quantity",88064,"Europe"
"442","Y1988","Export Value",58009,"Europe"
"443","Y1988","Import Quantity",997784,"Europe"
"444","Y1988","Import Value",445513,"Europe"
"445","Y1989","Export Quantity",99419,"Europe"
"446","Y1989","Export Value",60628,"Europe"
"447","Y1989","Import Quantity",1421685,"Europe"
"448","Y1989","Import Value",564191,"Europe"
"449","Y1990","Export Quantity",109017,"Europe"
"450","Y1990","Export Value",66523,"Europe"
"451","Y1990","Import Quantity",1149824,"Europe"
"452","Y1990","Import Value",417899,"Europe"
"453","Y1991","Export Quantity",209991,"Europe"
"454","Y1991","Export Value",120997,"Europe"
"455","Y1991","Import Quantity",1740437,"Europe"
"456","Y1991","Import Value",658681,"Europe"
"457","Y1992","Export Quantity",220289,"Europe"
"458","Y1992","Export Value",149096,"Europe"
"459","Y1992","Import Quantity",1776595,"Europe"
"460","Y1992","Import Value",763671,"Europe"
"461","Y1993","Export Quantity",288502,"Europe"
"462","Y1993","Export Value",179291,"Europe"
"463","Y1993","Import Quantity",1862301,"Europe"
"464","Y1993","Import Value",790524,"Europe"
"465","Y1994","Export Quantity",282402,"Europe"
"466","Y1994","Export Value",207352,"Europe"
"467","Y1994","Import Quantity",2126592,"Europe"
"468","Y1994","Import Value",1038890,"Europe"
"469","Y1995","Export Quantity",304696,"Europe"
"470","Y1995","Export Value",275483,"Europe"
"471","Y1995","Import Quantity",1951616,"Europe"
"472","Y1995","Import Value",1326816,"Europe"
"473","Y1996","Export Quantity",470693,"Europe"
"474","Y1996","Export Value",361010,"Europe"
"475","Y1996","Import Quantity",2078835,"Europe"
"476","Y1996","Import Value",1224593,"Europe"
"477","Y1997","Export Quantity",565494,"Europe"
"478","Y1997","Export Value",387074,"Europe"
"479","Y1997","Import Quantity",2089531,"Europe"
"480","Y1997","Import Value",1195424,"Europe"
"481","Y1998","Export Quantity",545039,"Europe"
"482","Y1998","Export Value",420653,"Europe"
"483","Y1998","Import Quantity",2549240,"Europe"
"484","Y1998","Import Value",1647582,"Europe"
"485","Y1999","Export Quantity",614651,"Europe"
"486","Y1999","Export Value",411562,"Europe"
"487","Y1999","Import Quantity",2606089,"Europe"
"488","Y1999","Import Value",1348418,"Europe"
"489","Y2000","Export Quantity",548486,"Europe"
"490","Y2000","Export Value",278587,"Europe"
"491","Y2000","Import Quantity",3107543,"Europe"
"492","Y2000","Import Value",1136637,"Europe"
"493","Y2001","Export Quantity",641249,"Europe"
"494","Y2001","Export Value",264494,"Europe"
"495","Y2001","Import Quantity",3855306,"Europe"
"496","Y2001","Import Value",1213151,"Europe"
"497","Y2002","Export Quantity",673103,"Europe"
"498","Y2002","Export Value",351055,"Europe"
"499","Y2002","Import Quantity",4223609,"Europe"
"500","Y2002","Import Value",1697942,"Europe"
"501","Y2003","Export Quantity",833817,"Europe"
"502","Y2003","Export Value",528678,"Europe"
"503","Y2003","Import Quantity",4589358,"Europe"
"504","Y2003","Import Value",2204104,"Europe"
"505","Y2004","Export Quantity",1065422,"Europe"
"506","Y2004","Export Value",724916,"Europe"
"507","Y2004","Import Quantity",5367356,"Europe"
"508","Y2004","Import Value",2858009,"Europe"
"509","Y2005","Export Quantity",1198849,"Europe"
"510","Y2005","Export Value",742188,"Europe"
"511","Y2005","Import Quantity",6411370,"Europe"
"512","Y2005","Import Value",3098044,"Europe"
"513","Y2006","Export Quantity",1394582,"Europe"
"514","Y2006","Export Value",917690,"Europe"
"515","Y2006","Import Quantity",6775979,"Europe"
"516","Y2006","Import Value",3486896,"Europe"
"517","Y2007","Export Quantity",1821771,"Europe"
"518","Y2007","Export Value",1522889,"Europe"
"519","Y2007","Import Quantity",6154675,"Europe"
"520","Y2007","Import Value",4411307,"Europe"
"521","Y2008","Export Quantity",2129888,"Europe"
"522","Y2008","Export Value",2404789,"Europe"
"523","Y2008","Import Quantity",7391196,"Europe"
"524","Y2008","Import Value",7599462,"Europe"
"525","Y2009","Export Quantity",1823293,"Europe"
"526","Y2009","Export Value",1708828,"Europe"
"527","Y2009","Import Quantity",7981708,"Europe"
"528","Y2009","Import Value",6137169,"Europe"
"529","Y2010","Export Quantity",1710654,"Europe"
"530","Y2010","Export Value",1746500,"Europe"
"531","Y2010","Import Quantity",8073109,"Europe"
"532","Y2010","Import Value",6760457,"Europe"
"533","Y2011","Export Quantity",1771749,"Europe"
"534","Y2011","Export Value",2403272,"Europe"
"535","Y2011","Import Quantity",7411598,"Europe"
"536","Y2011","Import Value",8614567,"Europe"
"537","Y2012","Export Quantity",1786417,"Europe"
"538","Y2012","Export Value",2229223,"Europe"
"539","Y2012","Import Quantity",8495711,"Europe"
"540","Y2012","Import Value",9332126,"Europe"
"541","Y2013","Export Quantity",2013428,"Europe"
"542","Y2013","Export Value",2235650,"Europe"
"543","Y2013","Import Quantity",10324629,"Europe"
"544","Y2013","Import Value",9715101,"Europe"
"545","Y2014","Export Quantity",1745624.88,"Europe"
"546","Y2014","Export Value",1862144,"Europe"
"547","Y2014","Import Quantity",9852746.99,"Europe"
"548","Y2014","Import Value",9018814,"Europe"
"549","Y2015","Export Quantity",1910541.23,"Europe"
"550","Y2015","Export Value",1616470,"Europe"
"551","Y2015","Import Quantity",9899943.11,"Europe"
"552","Y2015","Import Value",7271745,"Europe"
"553","Y2016","Export Quantity",2030854.01,"Europe"
"554","Y2016","Export Value",1734386,"Europe"
"555","Y2016","Import Quantity",10045584.64,"Europe"
"556","Y2016","Import Value",7272891,"Europe"
"557","Y2017","Export Quantity",2203895.66,"Europe"
"558","Y2017","Export Value",2060561,"Europe"
"559","Y2017","Import Quantity",10499653.75,"Europe"
"560","Y2017","Import Value",8408725,"Europe"
"561","Y2018","Export Quantity",2048585.62,"Europe"
"562","Y2018","Export Value",1873005,"Europe"
"563","Y2018","Import Quantity",10427913.56,"Europe"
"564","Y2018","Import Value",7751517,"Europe"
"565","Y2019","Export Quantity",2054151.58,"Europe"
"566","Y2019","Export Value",1646661,"Europe"
"567","Y2019","Import Quantity",10909834.3,"Europe"
"568","Y2019","Import Value",7104377,"Europe"
"569","Y2020","Export Quantity",1924953.07,"Europe"
"570","Y2020","Export Value",1729709,"Europe"
"571","Y2020","Import Quantity",10740835.16,"Europe"
"572","Y2020","Import Value",8148009,"Europe"
"573","Y2021","Export Quantity",1837235.06,"Europe"
"574","Y2021","Export Value",2261294,"Europe"
"575","Y2021","Import Quantity",9472268.96,"Europe"
"576","Y2021","Import Value",10351776,"Europe"
"577","Y1986","Export Quantity",126586,"Oceania"
